# this file contains all the bdt_cuts
# y_bins: 0-(0_1) 1-(1_3)
# cent_bins: 0-(0_10) 1-(10_30) 2-(30_50) 3-(50_90)
# pt_bins 0-(1_2) 1-(2_3) 2-(3_4) 3-(4_5) 4-(5_6) 5-(6_8) 6-(8_10) 7-(10_15) 8-(15_20) 9-(20-40) 10-(40-60) 11-(60-100) 12-(100-900)
#
#y_bin, cent_bin, pt_bin, cut_value 
0 0 0 0.357461 
0 0 1 0.420449 
0 0 2 0.429972 
0 0 3 0.436612 
0 0 4 0.431078 
0 0 5 0.400835 
0 0 6 0.376915 
0 0 7 0.351432 
0 0 8 0.351471 
0 0 9 0.308393
0 0 10 0.191545
0 0 11 0.202519
0 0 12 0.227903
0 1 0 0.38001 
0 1 1 0.437981 
0 1 2 0.468240 
0 1 3 0.451751 
0 1 4 0.422243 
0 1 5 0.391089 
0 1 6 0.362440 
0 1 7 0.337458 
0 1 8 0.309523 
0 1 9 0.299388
0 1 10 0.02 
0 1 11 0.02 
0 1 12 0.02
0 2 0 0.394922 
0 2 1 0.420203 
0 2 2 0.438957 
0 2 3 0.423051 
0 2 4 0.383276 
0 2 5 0.336041 
0 2 6 0.324321 
0 2 7 0.294644
0 2 8 0.272317
0 2 9 0.206571
0 2 10 0.2 
0 2 11 0.2
0 2 12 0.2
0 3 0 0.437443 
0 3 1 0.446988
0 3 2 0.432427 
0 3 3 0.413452 
0 3 4 0.342384 
0 3 5 0.280151 
0 3 6 0.273886 
0 3 7 0.271903 
0 3 8 0.31829 
0 3 9 0.269884
0 3 10 0.2
0 3 11 0.2
0 3 12 0.2
1 0 0 1.0      
1 0 1 0.484550 
1 0 2 0.463811 
1 0 3 0.493302 
1 0 4 0.435621 
1 0 5 0.412473 
1 0 6 0.380123 
1 0 7 0.364025 
1 0 8 0.360311 
1 0 9 -1.0
1 1 0 0.487992
1 1 1 0.505927 
1 1 2 0.510104 
1 1 3 0.509333 
1 1 4 0.462335 
1 1 5 0.418789 
1 1 6 0.403377 
1 1 7 0.360288 
1 1 8 0.307086 
1 1 9 -1.0
1 2 0 0.479581 
1 2 1 0.492316 
1 2 2 0.496847 
1 2 3 0.483445 
1 2 4 0.429979 
1 2 5 0.374791 
1 2 6 0.387357 
1 2 7 0.341986 
1 2 8 0.241376 
1 2 9 -1.0
1 3 0 0.450000 
1 3 1 0.475221 
1 3 2 0.496992 
1 3 3 0.491613 
1 3 4 0.427700 
1 3 5 0.384513 
1 3 6 0.336953 
1 3 7 0.320800 
1 3 8 -1.0
1 3 9 -1.0

